,audience,comment,presents,share,url,Time
102,75,5,17,0,http://upscuw.changba.com/1161407400.mp3,2019-05-07 00:00:00
103,135,4,6,0,http://qiniuuwmp3.changba.com/1161204472.mp3,2019-05-06 00:00:00
104,132,3,14,0,http://upscuw.changba.com/1161148108.mp3,2019-05-06 00:00:00
105,289,4,3,2,http://upscuw.changba.com/1160925115.mp3,2019-05-05 00:00:00
106,58,1,1,0,http://qiniuuwmp3.changba.com/1160723989.mp3,2019-05-04 00:00:00
107,144,5,4,1,http://qiniuuwmp3.changba.com/1159685667.mp3,2019-04-30 00:00:00
108,141,3,10,0,http://upscuw.changba.com/1158991324.mp3,2019-04-27 00:00:00
109,48,3,2,0,http://upscuw.changba.com/1158990329.mp3,2019-04-27 00:00:00
110,144,2,6,0,http://upscuw.changba.com/1158220017.mp3,2019-04-24 00:00:00
111,102,3,10,2,http://upscuw.changba.com/1157998607.mp3,2019-04-23 00:00:00
112,191,10,4,2,http://qiniuuwmp3.changba.com/1154900252.mp3,2019-04-11 00:00:00
113,87,3,3,0,http://upscuw.changba.com/1154432802.mp3,2019-04-09 00:00:00
114,145,5,18,0,http://qiniuuwmp3.changba.com/1154432784.mp3,2019-04-09 00:00:00
115,88,2,4,1,http://qiniuuwmp3.changba.com/1154432748.mp3,2019-04-09 00:00:00
116,112,5,5,0,http://qiniuuwmp3.changba.com/1153768489.mp3,2019-04-06 00:00:00
117,107,2,2,1,http://upscuw.changba.com/1153722437.mp3,2019-04-06 00:00:00
118,117,2,7,1,http://qiniuuwmp3.changba.com/1153427460.mp3,2019-04-05 00:00:00
119,372,15,29,5,http://upscuw.changba.com/1152714410.mp3,2019-04-04 00:00:00
120,157,3,3,0,http://qiniuuwmp3.changba.com/1152712896.mp3,2019-04-02 00:00:00
121,127,1,1,1,http://qiniuuwmp3.changba.com/1152712785.mp3,2019-04-02 00:00:00
122,,,,,,
123,171,5,5,1,http://upscuw.changba.com/1151439729.mp3,2019-03-28 00:00:00
124,67,2,1,0,http://qiniuuwmp3.changba.com/1151439589.mp3,2019-03-28 00:00:00
125,196,3,12,1,http://qiniuuwmp3.changba.com/1151196661.mp3,2019-03-27 00:00:00
126,120,3,3,0,http://qiniuuwmp3.changba.com/1150970580.mp3,2019-03-26 00:00:00
127,80,1,0,0,http://qiniuuwmp3.changba.com/1150969759.mp3,2019-03-26 00:00:00
128,98,3,7,2,http://upscuw.changba.com/1150543615.mp3,2019-03-24 00:00:00
129,122,10,5,0,http://upscuw.changba.com/1149412617.mp3,2019-03-20 00:00:00
130,83,2,2,0,http://upscuw.changba.com/1149406515.mp3,2019-03-20 00:00:00
131,99,3,4,0,http://qiniuuwmp3.changba.com/1149406249.mp3,2019-03-20 00:00:00
132,95,4,6,3,http://upscuw.changba.com/1149406123.mp3,2019-03-20 00:00:00
133,181,10,12,1,http://qiniuuwmp3.changba.com/1149174167.mp3,2019-03-19 00:00:00
134,88,3,9,0,http://qiniuuwmp3.changba.com/1148693761.mp3,2019-03-17 00:00:00
135,49,8,4,0,http://qiniuuwmp3.changba.com/1148687782.mp3,2019-03-17 00:00:00
136,49,3,4,0,http://upscuw.changba.com/1148682710.mp3,2019-03-17 00:00:00
137,322,15,20,2,http://upscuw.changba.com/1147904620.mp3,2019-03-15 00:00:00
138,49,4,7,0,http://qiniuuwmp3.changba.com/1147443267.mp3,2019-03-12 00:00:00
139,69,1,7,2,http://upscuw.changba.com/1147443238.mp3,2019-03-12 00:00:00
140,169,3,6,1,http://qiniuuwmp3.changba.com/1146444290.mp3,2019-03-08 00:00:00
141,64,4,8,0,http://upscuw.changba.com/1146425333.mp3,2019-03-08 00:00:00
142,1330,14,35,16,http://qiniuuwmp3.changba.com/1146176466.mp3,2019-03-07 00:00:00
143,419,11,28,7,http://upscuw.changba.com/1145930832.mp3,2019-03-06 00:00:00
144,264,5,18,1,http://qiniuuwmp3.changba.com/1145930568.mp3,2019-03-06 00:00:00
145,75,1,4,0,http://upscuw.changba.com/1144619907.mp3,2019-03-01 00:00:00
146,72,3,6,0,http://qiniuuwmp3.changba.com/1144619054.mp3,2019-03-01 00:00:00
147,90,4,5,0,http://qiniuuwmp3.changba.com/1143372899.mp3,2019-02-24 00:00:00
148,34,1,0,0,http://upscuw.changba.com/1143354021.mp3,2019-02-24 00:00:00
149,55,3,1,0,http://qiniuuwmp3.changba.com/1143353750.mp3,2019-02-24 00:00:00
150,30,1,1,0,http://qiniuuwmp3.changba.com/1143352552.mp3,2019-02-24 00:00:00
151,22,1,0,0,http://upscuw.changba.com/1143352129.mp3,2019-02-24 00:00:00
152,61,2,5,1,http://upscuw.changba.com/1143113508.mp3,2019-02-23 00:00:00
153,58,4,2,0,http://qiniuuwmp3.changba.com/1143112555.mp3,2019-02-23 00:00:00
154,56,4,2,2,http://qiniuuwmp3.changba.com/1143111980.mp3,2019-02-23 00:00:00
155,50,4,9,0,http://upscuw.changba.com/1143083811.mp3,2019-02-23 00:00:00
156,37,2,8,0,http://upscuw.changba.com/1143082026.mp3,2019-02-23 00:00:00
157,177,15,44,6,,2019-02-20 00:00:00
158,55,3,1,1,http://qiniuuwmp3.changba.com/1141521884.mp3,2019-02-17 00:00:00
159,111,4,8,0,http://qiniuuwmp3.changba.com/1141502980.mp3,2019-02-17 00:00:00
160,192,4,10,1,http://qiniuuwmp3.changba.com/1141501986.mp3,2019-02-17 00:00:00
161,50,1,7,0,http://upscuw.changba.com/1141271035.mp3,2019-02-16 00:00:00
162,58,4,3,0,http://qiniuuwmp3.changba.com/1141226048.mp3,2019-02-16 00:00:00
163,57,5,3,1,http://upscuw.changba.com/1141224515.mp3,2019-02-16 00:00:00
164,165,6,9,0,http://upscuw.changba.com/1140950042.mp3,2019-02-15 00:00:00
165,100,2,6,0,http://qiniuuwmp3.changba.com/1140949282.mp3,2019-02-15 00:00:00
166,72,3,4,0,http://qiniuuwmp3.changba.com/1140655254.mp3,2019-02-14 00:00:00
167,97,6,5,2,http://upscuw.changba.com/1140650344.mp3,2019-02-14 00:00:00
