,name,Page,audience,comment,presents,share,url,Time,CorrectedTime_U,CorrectedTime_L,fault
44,你敢我就敢,http://changba.com/s/JzYyc6PfNmDRxkXx7jVYVw,38,1,0,0,http://upscuw.changba.com/1202873810.mp3,2019-11-24 00:00:00,2019-11-24 00:00:00,2019-11-24 00:00:00,False
45,20.moli,http://changba.com/s/buu0add_n9AbrGRbqqKtRA,41,2,3,0,http://qiniuuwmp3.changba.com/1202698595.mp3,2019-11-23 00:00:00,2019-11-23 00:00:00,2019-11-23 00:00:00,False
46,曾经守候,http://changba.com/s/-lSXTIbXzvtOPsxXzZydUg,62,3,4,1,http://qiniuuwmp3.changba.com/1202492464.mp3,2019-11-22 00:00:00,2019-11-22 00:00:00,2019-11-22 00:00:00,False
47,不亏不欠,http://changba.com/s/6z6uQcLsAspRBGGtWtB_Qw,189,7,30,1,http://upscuw.changba.com/1202169140.mp3,2019-11-20 00:00:00,2019-11-20 00:00:00,2019-11-20 00:00:00,False
48,Often,http://changba.com/s/R2UjfRsYqrzPp_faKk5fMw,63,3,2,0,http://upscuw.changba.com/1201635144.mp3,2019-11-17 00:00:00,2019-11-17 00:00:00,2019-11-17 00:00:00,False
49,Say You Won't Let Go,http://changba.com/s/4qMTfky9XeEzW_7qLbh4gw,85,4,15,0,http://upuwmp3.changba.com/userdata/userwork/75/1201453075.mp3,2019-11-16 00:00:00,2019-11-16 00:00:00,2019-11-16 00:00:00,False
50,Paper Hearts,http://changba.com/s/GilT90gu35bqN8vuHJlNRg,65,2,9,2,http://qiniuuwmp3.changba.com/1201450366.mp3,2019-11-16 00:00:00,2019-11-16 00:00:00,2019-11-16 00:00:00,False
51,Circles,http://changba.com/s/bRIsZM-gQPBIc5oVUONQaw,136,1,1,0,http://qiniuuwmp3.changba.com/1201449862.mp3,2019-11-16 00:00:00,2019-11-16 00:00:00,2019-11-16 00:00:00,False
52,莱特兄弟有罪,http://changba.com/s/bUHdSm1EUI2sGi2__4TZGQ,120,3,9,1,http://upscuw.changba.com/1199021729.mp3,2019-11-02 00:00:00,2019-11-02 00:00:00,2019-11-02 00:00:00,False
53,Love Galore,http://changba.com/s/QfdtipVV90v2TLz5liZ2AQ,76,2,8,1,http://qiniuuwmp3.changba.com/1198858864.mp3,2019-11-01 00:00:00,2019-11-01 00:00:00,2019-11-01 00:00:00,False
54,Forever Young,http://changba.com/s/TFpEkC92ukrbHc_NnACk6w,99,4,11,3,http://upscuw.changba.com/1198856240.mp3,2019-11-01 00:00:00,2019-11-01 00:00:00,2019-11-01 00:00:00,False
55,给朱利安,http://changba.com/s/3jmE2tBuYMvt2O4iedOKxw,85,1,6,0,http://upuwmp3.changba.com/userdata/userwork/944/1198545944.mp3,2019-10-30 00:00:00,2019-10-30 00:00:00,2019-10-30 00:00:00,False
56,给朱利安,http://changba.com/s/2XnP-aKeyuP0tkgLf8YTeg,130,1,3,2,http://upscuw.changba.com/1198544629.mp3,2019-10-30 00:00:00,2019-10-30 00:00:00,2019-10-30 00:00:00,False
57,Spirit,http://changba.com/s/yQJgVL_h9D54GDnf1H4OXQ,126,2,11,0,http://upscuw.changba.com/1196552217.mp3,2019-10-18 00:00:00,2019-10-18 00:00:00,2019-10-18 00:00:00,False
58,Slide Away,http://changba.com/s/x6r2jTjbpcPxUaEeJmDn-A,67,1,8,0,http://qiniuuwmp3.changba.com/1196393488.mp3,2019-10-17 00:00:00,2019-10-17 00:00:00,2019-10-17 00:00:00,False
59,Someone You Loved,http://changba.com/s/ox20HN2KFHiBk_ehJNkB8A,188,4,10,1,http://qiniuuwmp3.changba.com/1196069778.mp3,2019-10-15 00:00:00,2019-10-15 00:00:00,2019-10-15 00:00:00,False
60,就是现在,http://changba.com/s/wJZ4YHc3PvnzcMBSe3b4yw,109,5,6,0,http://upscuw.changba.com/1195716030.mp3,2019-10-13 00:00:00,2019-10-13 00:00:00,2019-10-13 00:00:00,False
61,就是现在,http://changba.com/s/OnlzYGzsZ4dMXcw56kF3Og,140,4,7,0,http://qiniuuwmp3.changba.com/1195549146.mp3,2019-10-12 00:00:00,2019-10-12 00:00:00,2019-10-12 00:00:00,False
62,甜秘密,http://changba.com/s/7e5HwmJhHIaGlo45ZoYp7w,215,5,14,2,http://qiniuuwmp3.changba.com/1194887886.mp3,2019-10-08 00:00:00,2019-10-08 00:00:00,2019-10-08 00:00:00,False
63,风起云涌,http://changba.com/s/3Sk_e9fJXMxs9EDDKe6z8Q,55,1,3,0,http://upscuw.changba.com/1194226330.mp3,2019-10-04 00:00:00,2019-10-04 00:00:00,2019-10-04 00:00:00,False
64,别再问我什么是迪斯科,http://changba.com/s/NgsLNRfNaqUY8pB2yBDzTA,88,5,11,0,http://upscuw.changba.com/1189180127.mp3,2019-09-08 00:00:00,2019-09-08 00:00:00,2019-09-08 00:00:00,False
65,Idontwannabeyouanymore,http://changba.com/s/qb6ucODZKr3PiWpxfLyJWw,139,7,20,10,http://upscuw.changba.com/1188970620.mp3,2019-09-07 00:00:00,2019-09-07 00:00:00,2019-09-07 00:00:00,False
66,Somebody,http://changba.com/s/-TM5VMKwxX455GCAj5matg,98,5,6,1,http://ksapuw.changba.com/userdata/userwork/215/1188925215.mp3,2019-09-07 00:00:00,2019-09-07 00:00:00,2019-09-07 00:00:00,False
67,On A Roll,http://changba.com/s/AzcIzMqaCWb4ydeA9XqjjQ,200,4,8,3,http://qiniuuwmp3.changba.com/1184684161.mp3,2019-08-16 00:00:00,2019-08-16 00:00:00,2019-08-16 00:00:00,False
68,玫瑰少年,http://changba.com/s/QhSp35u5UOjQSwftdt9eww,351,12,39,9,http://upscuw.changba.com/1184296929.mp3,2019-08-15 00:00:00,2019-08-15 00:00:00,2019-08-15 00:00:00,False
69,Goodnight N Go,http://changba.com/s/dPq_iABQoHG1GEJ9uHnx9Q,98,2,2,1,http://qiniuuwmp3.changba.com/1183701695.mp3,2019-08-11 00:00:00,2019-08-11 00:00:00,2019-08-11 00:00:00,False
70,Señorita,http://changba.com/s/9f-HVeqzKKkwMWJBxtxhVA,193,1,9,3,http://upscuw.changba.com/1183693600.mp3,2019-08-11 00:00:00,2019-08-11 00:00:00,2019-08-11 00:00:00,False
71,Señorita,http://changba.com/s/OIatLB_PMncKRue16BOkeA,328,7,10,3,http://qiniuuwmp3.changba.com/1183244252.mp3,2019-08-09 00:00:00,2019-08-09 00:00:00,2019-08-09 00:00:00,False
